v1,v2,v3
43,23,44
23,43,22
43,21,22
21,43,42
1,21,0
21,1,22
1,23,22
23,1,2
399,421,420
421,399,400
357,379,378
379,357,358
379,399,378
399,379,400
231,253,252
253,231,232
41,19,20
19,41,40
19,39,18
39,19,40
88,89,109
109,89,110
33,11,12
11,33,32
341,361,340
361,341,362
349,369,348
369,349,370
431,410,432
410,411,432
224,202,203
202,224,223
202,180,181
180,202,201
146,167,166
145,146,166
124,104,125
104,124,103
144,124,145
124,144,123
124,146,145
146,124,125
375,353,354
353,375,374
165,145,166
165,144,145
231,211,232
211,231,210
274,294,273
294,274,295
274,296,295
296,274,275
274,273,252
253,274,252
274,254,275
254,274,253
319,339,318
339,319,340
319,341,340
341,319,320
319,299,320
319,298,299
254,255,275
255,276,275
319,297,298
297,319,318
297,276,277
298,297,277
276,297,275
297,296,275
211,233,232
233,211,212
233,255,254
255,233,234
233,253,232
233,254,253
155,133,134
133,155,154
135,155,134
155,135,156
67,89,88
89,67,68
87,88,109
87,109,108
87,67,88
67,87,66
155,175,154
175,155,176
175,197,196
175,176,197
174,175,195
195,175,196
175,153,154
153,175,174
31,11,32
11,31,10
64,63,42
43,64,42
64,84,63
84,64,85
3,24,2
24,23,2
4,24,3
24,4,25
27,6,7
28,27,7
133,113,134
113,133,112
202,182,203
182,202,181
118,98,119
98,118,97
98,99,119
119,99,120
75,54,55
76,75,55
77,99,98
99,77,78
77,98,97
76,77,97
77,76,55
56,77,55
53,31,32
31,53,52
75,53,54
53,75,74
33,53,32
54,53,33
57,77,56
77,57,78
38,17,18
39,38,18
35,57,56
57,35,36
35,14,15
36,35,15
282,260,261
260,282,281
282,304,303
304,282,283
282,302,281
282,303,302
363,342,364
342,343,364
342,363,362
341,342,362
361,360,340
360,339,340
351,350,330
350,329,330
414,436,435
436,414,415
434,414,435
414,434,413
418,396,397
396,418,417
373,353,374
353,373,352
351,373,372
373,351,352
409,431,430
409,410,431
410,389,411
411,389,390
409,389,410
389,409,388
384,363,364
385,384,364
199,221,220
221,199,200
177,155,156
155,177,176
199,179,200
179,199,178
179,180,201
179,201,200
243,265,264
265,243,244
99,121,120
121,99,100
124,102,103
102,124,123
99,79,100
79,99,78
57,79,78
79,57,58
80,79,59
79,58,59
142,143,163
163,143,164
165,143,144
143,165,164
250,251,272
271,250,272
398,376,377
376,398,397
396,376,397
376,396,375
184,163,164
185,184,164
184,185,206
205,184,206
226,205,206
227,226,206
316,294,295
294,316,315
189,211,210
211,189,190
191,211,190
211,191,212
169,191,190
191,169,170
169,168,147
148,169,147
189,169,190
169,189,168
169,148,149
170,169,149
233,213,234
213,233,212
191,213,212
213,191,192
213,235,234
213,214,235
261,239,240
260,239,261
239,219,240
239,218,219
239,217,218
217,239,238
217,195,196
217,216,195
197,217,196
218,217,197
171,191,170
191,171,192
171,170,149
150,171,149
31,9,10
9,31,30
31,51,30
51,31,52
51,29,30
29,51,50
8,29,7
29,28,7
29,9,30
9,29,8
28,29,49
29,50,49
4,26,25
26,4,5
6,26,5
27,26,6
132,133,154
153,132,154
132,111,112
133,132,112
132,153,152
131,132,152
111,132,110
132,131,110
130,151,150
129,130,150
109,130,108
130,129,108
151,130,152
130,131,152
130,109,110
131,130,110
157,179,178
179,157,158
157,177,156
177,157,178
135,157,156
136,157,135
136,114,115
114,136,135
114,135,134
113,114,134
89,90,110
90,111,110
90,89,68
69,90,68
96,75,76
96,76,97
75,96,74
96,95,74
73,53,74
53,73,52
73,51,52
51,73,72
95,73,74
94,73,95
16,37,15
37,36,15
57,37,58
37,57,36
37,16,17
38,37,17
58,37,59
37,38,59
13,34,12
34,33,12
54,34,55
34,54,33
14,34,13
35,34,14
34,56,55
34,35,56
419,418,397
398,419,397
439,419,440
419,439,418
418,439,417
439,438,417
343,344,364
344,365,364
365,344,366
344,345,366
304,324,303
324,304,325
321,341,320
321,342,341
342,321,343
321,322,343
402,424,423
424,402,403
349,371,370
350,371,349
371,350,351
371,351,372
412,433,432
411,412,432
412,434,433
434,412,413
373,393,372
393,373,394
